Catch Year,Species Code,Species Name,Gear Code,Gear Name,SMA,NAFO Division,Quota,Quota Name,Unit Wt.,Qta Amt,Landed RW,Number of Animals,Landed Value,Discard Dead,Dumped Round,Discard Alive,# of Fishers,# of Vessels,# of Buyers,# of Trips
1999,130,Halibut,41,Gill Net (Set or Fixed),3PS,3O,11178,3Ps Atlantic Halibut  Fixed Gear < 65',Tonnes,27,0.2,0,1260.36,0,0,0,1,1,1,1
1999,130,Halibut,41,Gill Net (Set or Fixed),3PS,3PS,11178,3Ps Atlantic Halibut  Fixed Gear < 65',Tonnes,27,14.63,0,80718.35,0.04,0,0,80,82,11,146
1999,130,Halibut,41,Gill Net (Set or Fixed),3PS,3PS,12301,3Ps Atlantic Halibut Fixed Gear 65'-100',Tonnes,0,0.16,0,786.5,0.05,0,0,2,2,2,3
1999,130,Halibut,51,Longline,3O,3O,12295,3NO Atlantic Halibut Fixed Gear 65'-100',Tonnes,0,10.79,0,54534.89,0,0,0,3,3,1,12
1999,130,Halibut,51,Longline,3PS,3PS,11178,3Ps Atlantic Halibut  Fixed Gear < 65',Tonnes,27,24.69,0,152745.89,0,0,0,83,88,9,347
1999,130,Halibut,51,Longline,3PS,3PS,12301,3Ps Atlantic Halibut Fixed Gear 65'-100',Tonnes,0,16.81,0,85181.05,0,0,0,3,3,2,7
1999,130,Halibut,59,Hand Line (Baited),3PS,3PS,11178,3Ps Atlantic Halibut  Fixed Gear < 65',Tonnes,27,0.15,0,916.6,0,0,0,4,4,2,4
2000,130,Halibut,12,Bottom Otter Trawl (stern),3L,3N,17241,3L Atlantic Halibut >100',Tonnes,0,0,0,0,0,0,0,1,3,1,3
2000,130,Halibut,12,Bottom Otter Trawl (stern),3N,3N,12246,3N Atlantic Halibut >100',Tonnes,0,0,0,0,0,0,0,1,1,1,1
2000,130,Halibut,12,Bottom Otter Trawl (stern),3O,3N,12297,3O Atlantic Halibut >100',Tonnes,0,0,0,0,0,0,0,1,1,1,1
2000,130,Halibut,12,Bottom Otter Trawl (stern),3O,3N,17297,3NO Atlantic Halibut Vessels >100',Tonnes,0,0.05,0,283.25,0,0,0,2,11,2,23
2000,130,Halibut,12,Bottom Otter Trawl (stern),3O,3O,12297,3O Atlantic Halibut >100',Tonnes,0,0.02,0,82.5,0,0,0,1,1,1,1
2000,130,Halibut,12,Bottom Otter Trawl (stern),3O,3O,16664,3NO Atlantic Halibut Mobile Gear < 65',Tonnes,0,0.67,0,3569.5,0,0,0,1,1,2,2
2000,130,Halibut,12,Bottom Otter Trawl (stern),3O,3O,17297,3NO Atlantic Halibut Vessels >100',Tonnes,0,0,0,0,0,0,0,1,3,1,4
2000,130,Halibut,12,Bottom Otter Trawl (stern),3O,3O,23095,3NO Atlantic Halibut Mobile Gear 65'-100',Tonnes,0,0.06,0,413.1,0,0,0,1,1,1,2
2000,130,Halibut,12,Bottom Otter Trawl (stern),3PS,3PS,12303,3Ps Atlantic Halibut >100',Tonnes,0,1.03,0,5491.76,0,0,0,2,6,2,15
2000,130,Halibut,12,Bottom Otter Trawl (stern),3PS,3PS,16179,3Ps Atlantic Halibut  Mobile Gear < 65' ,Tonnes,4,0.76,0,4725.4,0,0,0,4,4,5,7
2000,130,Halibut,12,Bottom Otter Trawl (stern),3PS,3PS,17303,3Ps Atlantic Halibut Vessels >100',Tonnes,0,0.02,0,112.75,0,0,0,1,3,1,3
2000,130,Halibut,22,Scottish Seine,3O,3N,17297,3NO Atlantic Halibut Vessels >100',Tonnes,0,0,0,0,0,0,0,1,1,1,1
2000,130,Halibut,41,Gill Net (Set or Fixed),3O,3N,12295,3NO Atlantic Halibut Fixed Gear 65'-100',Tonnes,0,0.04,0,303.75,0,0,0,1,1,1,1
2000,130,Halibut,41,Gill Net (Set or Fixed),3O,3O,12297,3O Atlantic Halibut >100',Tonnes,0,26.27,0,163756.73,0.19,0,0,2,2,2,5
2000,130,Halibut,41,Gill Net (Set or Fixed),3O,3O,12303,3Ps Atlantic Halibut >100',Tonnes,0,0.91,0,6459.99,0,0,0,1,1,1,1
2000,130,Halibut,41,Gill Net (Set or Fixed),3O,3O,16663,3NO Atlantic Halibut Fixed Gear < 65',Tonnes,0,6.59,0,37133.92,0.26,0,0,8,8,10,25
2000,130,Halibut,41,Gill Net (Set or Fixed),3O,3O,17295,3NO Atlantic Halibut Fixed Gear 65'-100',Tonnes,0,8.79,0,49456.28,0.85,0,0,3,3,3,19
2000,130,Halibut,41,Gill Net (Set or Fixed),3O,3PS,17295,3NO Atlantic Halibut Fixed Gear 65'-100',Tonnes,0,0.03,0,154.79,0,0,0,1,1,1,1
2000,130,Halibut,41,Gill Net (Set or Fixed),3PS,3O,16178,3Ps Atlantic Halibut  Fixed Gear < 65',Tonnes,24,0.25,0,1347.82,0,0,0,1,1,1,1
2000,130,Halibut,41,Gill Net (Set or Fixed),3PS,3O,17301,3Ps Atlantic Halibut Fixed Gear 65'-100',Tonnes,0,0,0,0,0,0,0,1,1,1,1
2000,130,Halibut,41,Gill Net (Set or Fixed),3PS,3PS,11178,3Ps Atlantic Halibut  Fixed Gear < 65',Tonnes,27,0.52,0,3600,0,0,0,13,13,6,17
2000,130,Halibut,41,Gill Net (Set or Fixed),3PS,3PS,12301,3Ps Atlantic Halibut Fixed Gear 65'-100',Tonnes,0,0,0,0,0.07,0,0,1,1,1,1
2000,130,Halibut,41,Gill Net (Set or Fixed),3PS,3PS,16178,3Ps Atlantic Halibut  Fixed Gear < 65',Tonnes,24,8.85,0,52241.56,0.08,0,0,83,84,12,132
2000,130,Halibut,41,Gill Net (Set or Fixed),3PS,3PS,17301,3Ps Atlantic Halibut Fixed Gear 65'-100',Tonnes,0,0.01,0,27.5,0.03,0,0,2,2,2,2
2000,130,Halibut,51,Longline,3O,3N,12295,3NO Atlantic Halibut Fixed Gear 65'-100',Tonnes,0,15.21,0,80908.24,0,0,0,2,2,1,2
2000,130,Halibut,51,Longline,3O,3N,17297,3NO Atlantic Halibut Vessels >100',Tonnes,0,13.5,0,95648.85,0,0,0,1,1,2,1
2000,130,Halibut,51,Longline,3O,3O,12295,3NO Atlantic Halibut Fixed Gear 65'-100',Tonnes,0,7.57,0,48746.38,0,0,0,2,2,1,4
2000,130,Halibut,51,Longline,3O,3O,16663,3NO Atlantic Halibut Fixed Gear < 65',Tonnes,0,0.28,0,1728.44,0,0,0,1,1,4,3
2000,130,Halibut,51,Longline,3O,3O,17295,3NO Atlantic Halibut Fixed Gear 65'-100',Tonnes,0,4.69,0,27554.54,0,0,0,2,2,1,6
2000,130,Halibut,51,Longline,3O,3O,17297,3NO Atlantic Halibut Vessels >100',Tonnes,0,1.75,0,9319.76,0,0,0,1,1,1,3
2000,130,Halibut,51,Longline,3O,3PS,17295,3NO Atlantic Halibut Fixed Gear 65'-100',Tonnes,0,0.15,0,793.67,0,0,0,1,1,1,1
2000,130,Halibut,51,Longline,3PS,3PS,11178,3Ps Atlantic Halibut  Fixed Gear < 65',Tonnes,27,4.24,0,30029.69,0,0,0,13,13,6,26
2000,130,Halibut,51,Longline,3PS,3PS,12301,3Ps Atlantic Halibut Fixed Gear 65'-100',Tonnes,0,10.94,0,64805.5,0,0,0,4,4,1,8
2000,130,Halibut,51,Longline,3PS,3PS,16178,3Ps Atlantic Halibut  Fixed Gear < 65',Tonnes,24,27.6,0,187123.18,0.06,0,0,96,99,10,278
